Sexo;Grupo quinquenal de edad;País de nacimiento;Nacionalidad;País destino;Periodo;Total
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2009S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2009S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2008S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2008S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2021S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2020S2;6
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2020S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2019S2;4
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2019S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2018S2;4
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2018S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2017S2;7
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2017S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2016S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2016S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2015S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2015S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2014S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2014S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2013S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2013S1;4
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2012S2;2
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2012S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2011S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2011S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2010S2;2
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2010S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2009S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2009S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2008S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Dinamarca;2008S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2021S1;8
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2020S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2020S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2019S2;4
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2019S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2018S2;2
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2018S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2017S2;6
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2017S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2016S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2016S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2015S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2015S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2014S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2014S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2013S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2013S1;""
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2012S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2012S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2011S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2011S1;""
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2010S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2010S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2009S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2009S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2008S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Finlandia;2008S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2021S1;265
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2020S2;232
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2020S1;206
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2019S2;225
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2019S1;171
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2018S2;225
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2018S1;192
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2017S2;220
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2017S1;212
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2016S2;135
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2016S1;130
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2015S2;131
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2015S1;116
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2014S2;138
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2014S1;119
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2013S2;92
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2013S1;65
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2012S2;68
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2012S1;59
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2011S2;77
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2011S1;36
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2010S2;56
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2010S1;42
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2009S2;51
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2009S1;38
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2008S2;49
Ambos sexos;De 15 a 19 años  ;España;Total;Francia;2008S1;55
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2021S1;6
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2020S2;9
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2020S1;10
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2019S2;11
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2019S1;4
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2018S2;6
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2018S1;13
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2017S2;9
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2017S1;4
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2016S2;4
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2016S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2015S2;2
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2015S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2014S2;8
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2014S1;4
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2013S2;8
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2013S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2012S2;2
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2012S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2011S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2011S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2010S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2010S1;4
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2009S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2009S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2008S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Irlanda;2008S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2021S1;35
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2020S2;25
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2020S1;20
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2019S2;18
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2019S1;19
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2018S2;12
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2018S1;10
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2017S2;12
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2017S1;10
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2016S2;20
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2016S1;9
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2015S2;9
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2015S1;8
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2014S2;23
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2014S1;10
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2013S2;15
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2013S1;8
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2012S2;12
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2012S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2011S2;24
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2011S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2010S2;13
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2010S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2009S2;11
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2009S1;21
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2008S2;21
Ambos sexos;De 15 a 19 años  ;España;Total;Italia;2008S1;9
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2021S1;35
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2020S2;20
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2020S1;28
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2019S2;39
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2019S1;25
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2018S2;20
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2018S1;22
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2017S2;35
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2017S1;16
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2016S2;20
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2016S1;21
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2015S2;9
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2015S1;27
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2014S2;23
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2014S1;14
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2013S2;19
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2013S1;12
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2012S2;11
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2012S1;11
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2011S2;18
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2011S1;15
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2010S2;11
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2010S1;4
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2009S2;6
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2009S1;6
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2008S2;24
Ambos sexos;De 15 a 19 años  ;España;Total;Países Bajos;2008S1;12
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2021S1;9
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2020S2;12
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2020S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2019S2;18
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2019S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2018S2;8
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2018S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2017S2;15
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2017S1;18
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2016S2;7
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2016S1;19
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2015S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2015S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2014S2;9
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2014S1;9
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2013S2;12
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2013S1;14
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2012S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2012S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2011S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2011S1;12
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2010S2;8
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2010S1;8
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2009S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2009S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2008S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Polonia;2008S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2021S1;27
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2020S2;13
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2020S1;20
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2019S2;12
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2019S1;11
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2018S2;16
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2018S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2017S2;15
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2017S1;19
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2016S2;23
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2016S1;11
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2015S2;10
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2015S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2014S2;10
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2014S1;19
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2013S2;14
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2013S1;9
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2012S2;26
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2012S1;8
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2011S2;29
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2011S1;10
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2010S2;15
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2010S1;6
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2009S2;29
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2009S1;13
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2008S2;16
Ambos sexos;De 15 a 19 años  ;España;Total;Portugal;2008S1;6
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2021S1;123
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2020S2;88
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2020S1;120
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2019S2;119
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2019S1;73
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2018S2;116
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2018S1;98
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2017S2;104
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2017S1;109
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2016S2;116
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2016S1;125
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2015S2;105
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2015S1;94
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2014S2;90
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2014S1;84
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2013S2;94
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2013S1;53
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2012S2;46
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2012S1;40
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2011S2;49
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2011S1;24
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2010S2;44
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2010S1;23
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2009S2;29
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2009S1;32
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2008S2;22
Ambos sexos;De 15 a 19 años  ;España;Total;Alemania;2008S1;32
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2021S1;240
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2020S2;121
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2020S1;87
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2019S2;101
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2019S1;66
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2018S2;54
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2018S1;53
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2017S2;48
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2017S1;40
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2016S2;8
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2016S1;17
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2015S2;14
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2015S1;6
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2014S2;13
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2014S1;6
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2013S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2013S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2012S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2012S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2011S2;4
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2011S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2010S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2010S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2009S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2009S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2008S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Rumanía;2008S1;1
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2021S1;14
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2020S2;11
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2020S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2019S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2019S1;8
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2018S2;10
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2018S1;2
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2017S2;15
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2017S1;9
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2016S2;9
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2016S1;13
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2015S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2015S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2014S2;2
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2014S1;5
Ambos sexos;De 15 a 19 años  ;España;Total;Suecia;2013S2;5
