"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2013","2013",151.2,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2014","2014",153.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2015","2015",152.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2016","2016",150.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2017","2017",150.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2018","2018",151.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2019","2019",142.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2010","2010",115.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2011","2011",116.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2012","2012",119.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2013","2013",121.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2014","2014",148.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2015","2015",145.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2016","2016",128.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2017","2017",135.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2018","2018",143.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUT","Austria","2019","2019",144.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2000","2000",68.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2001","2001",78,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2002","2002",83.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2003","2003",91.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2004","2004",100.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2005","2005",102.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2006","2006",104.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2007","2007",113.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2008","2008",131.5,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2009","2009",141.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2010","2010",148.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2011","2011",153.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2012","2012",159.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2013","2013",165.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2014","2014",170.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2015","2015",177.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2016","2016",189,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2017","2017",174.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2018","2018",181.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","BEL","Belgium","2019","2019",187.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2007","2007",98.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2008","2008",103.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2009","2009",105.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2010","2010",107.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2011","2011",111.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2012","2012",112.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2013","2013",114.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2014","2014",117.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2015","2015",119.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2016","2016",208.8,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2017","2017",209.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2018","2018",214.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CAN","Canada","2019","2019",220.2,"E; D","Estimated value; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2000","2000",213.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2001","2001",226,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2002","2002",212.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2003","2003",206.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2004","2004",195.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2005","2005",213.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2006","2006",201.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2007","2007",231.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2008","2008",223.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2009","2009",223.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2010","2010",234.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2011","2011",239.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2012","2012",245.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2013","2013",254.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2014","2014",258.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2015","2015",279.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2016","2016",283.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2017","2017",290.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2018","2018",304.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","CZE","Czech Republic","2019","2019",301.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2000","2000",101.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2001","2001",108.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2002","2002",113.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2003","2003",116.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2004","2004",122.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2005","2005",126.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2006","2006",132.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2007","2007",138,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2008","2008",144.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2009","2009",149.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2010","2010",154.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2011","2011",157.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2012","2012",163.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2013","2013",165.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2014","2014",169.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2015","2015",174.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2016","2016",178,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2017","2017",180.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2018","2018",181.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DNK","Denmark","2019","2019",183.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2000","2000",316.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2001","2001",320.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2002","2002",317.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2003","2003",322.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2004","2004",326,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2005","2005",345.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2006","2006",312.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2007","2007",293.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2008","2008",300.5,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2009","2009",295.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2010","2010",302.1,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2011","2011",304.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2012","2012",298.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2013","2013",295.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2014","2014",297.8,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2015","2015",296.3,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2016","2016",297.2,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2017","2017",292,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","FIN","Finland","2018","2018",293,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2000","2000",150.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2001","2001",149.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2002","2002",154.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2003","2003",158.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2004","2004",129.3,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2005","2005",138.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2006","2006",141.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2007","2007",157.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2008","2008",170.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2009","2009",177.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2010","2010",183.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2011","2011",190.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2012","2012",217,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2013","2013",221.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2014","2014",227,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2015","2015",228.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2016","2016",232.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2017","2017",227.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2018","2018",228.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","DEU","Germany","2019","2019",230.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2000","2000",175.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2001","2001",179.6,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2002","2002",197.9,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2003","2003",219.7,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2004","2004",236.4,,
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2013","2013",168.2,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2014","2014",175.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2015","2015",186.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2017","2017",185.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2018","2018",188.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2019","2019",190.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","GRC","Greece","2020","2020",203,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2000","2000",240.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2001","2001",238.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2002","2002",242.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2003","2003",256.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2004","2004",261.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2005","2005",257.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2006","2006",267.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2007","2007",170.5,"B; D","Break; Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2008","2008",165.1,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2009","2009",181.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2010","2010",200.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2011","2011",214.2,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2012","2012",221.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2013","2013",234.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2014","2014",247.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2015","2015",256,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2016","2016",269.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2017","2017",271.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","HUN","Hungary","2018","2018",280.1,"D","Difference in methodology"
